3,Team Alberta,Team Alberta,,CANADA
,- Blunt Mariah,,,
,- Callaghan Ashtin,,,
,- Mahon Noelle,,,
,- Strohbach Ethan,,,
Kumite Team Male - Senior,,,,
Kumite Team Male - Senior,,,,
1,Team Ontario,OKF Team Ontario,,CANADA
,- Holovko Artem,,,
,- Khaleghpanah Amir,,,
,- Esufali Asad,,,
,- Sanchez Daniel,,,
,- Nikbakhsh Mohammad_Reza,,,
,- Sinani Sarmen,,,
,- Gaysinsky Daniel,,,
2,Team Atlantic,Team Atlantic,,CANADA
,- Au Andrew,,,
,- Gates Gabriel,,,
,- Besso Nathaniel,,,
,- Smith Roland,,,
,- Deveau Tyler,,,
,- ONeil Sean,,,
,- ONeil Ryan,,,
3,Team Alberta,Team Alberta,,CANADA
,- Price-Lewis Robert_William,,,
,- Mendoza[MB} Noah,,,
,- Godoy Carlos,,,
,- Valdez Cedric,,,
,- Raymond Zachary,,,
,- Gonzalez Jean_Carlos,,,
4,Québec Kumite Sr M,Karate Quebec,,CANADA
,- Chenard Jérémy,,,
,- Boily-Martineau Patrice,,,
,- Bisson Jean-Sébastien,,,
,- Ameur Mohammed,,,
,- RIVEST ALEXANDRE-BENJAMIN,,,
,- RIVEST NICHOLAS-PATRICK,,,
,- SOUCY PHILIPPE,,,
PARA- Intellectual Challenges - Kata Individual Female Adult,,,,
PARA- Intellectual Challenges - Kata Individual Female Adult,,,,
1,Olson Natalie,Team Alberta,,CANADA
PARA- Intellectual Challenges - Kata Individual Female Junior,,,,
PARA- Intellectual Challenges - Kata Individual Female Junior,,,,
1,Brodeur Florence,Karate Quebec,,CANADA
PARA- Intellectual Challenges - Kata Individual Male Adult,,,,
,,(c)sportdata GmbH & Co KG 2000-2018(2018-03-11,,
,,17:45) -WKF Approved- v 9.6.2 build 1 License:EL Karate,,9 / 11
,,Canada National Championships 2018 (expire 2018-03-29),,
,,Karate Canada National,
,,Championships 2018 - 2018-03-09,
,,Official Results,
PARA- Intellectual Challenges - Kata Individual Male Adult,,,
1,LANGLOIS-GAUTHIER SIMON,Karate Quebec,CANADA
PARA- Intellectual Challenges - Kata Individual Male Junior,,,
PARA- Intellectual Challenges - Kata Individual Male Junior,,,
1,Graup Conrad,Team Alberta,CANADA
PARA- Standing Mobility Impairment - Kata Individual Male Junior,,,
PARA- Standing Mobility Impairment - Kata Individual Male Junior,,,
1,Mustapha Daniel,OKF Team Ontario,CANADA
2,Amog Alex,Team British Columbia,CANADA
3,Osuna-Wefer Santiago,Team Alberta,CANADA
4,Chambers Kyle,OKF Team Ontario,CANADA
PKF Kumite Individual Male- Youth +50kg,,,
PKF Kumite Individual Male- Youth +50kg,,,
1,Pareja Ezekiel,Team British Columbia,CANADA
2,Galaman Daniel,OKF Team Ontario,CANADA
3,Imre Emanuel,OKF Team Ontario,CANADA
WKF Kumite Individual Female- Youth -42kg,,,
WKF Kumite Individual Female- Youth -42kg,,,
1,Tablante Alethea,Team Alberta,CANADA
2,Bassi Harmen,Team British Columbia,CANADA
3,Brodie Olivia,Team British Columbia,CANADA
4,Szeto Kiera,Team British Columbia,CANADA
WKF Kumite Individual Male- Youth -40kg,,,
WKF Kumite Individual Male- Youth -40kg,,,
1,Berretta Dylan,Team British Columbia,CANADA
2,Anandkumar Vikrant,Team British Columbia,CANADA
3,Seemann Mark,Karate PEI,CANADA
YOG Kumite Individual Female- Junior -53kg,,,
YOG Kumite Individual Female- Junior -53kg,,,
1,LAHYANSSA YAMINA,Karate Quebec,CANADA
2,Zaborniak Stephanie,Team British Columbia,CANADA
3,Soehardhi Maya,Team British Columbia,CANADA
4,Dhillon Sachreet,Team British Columbia,CANADA
YOG Kumite Individual Male- Junior -61kg,,,
YOG Kumite Individual Male- Junior -61kg,,,
1,Plunkett Michael,Team British Columbia,CANADA
2,Telyaev David,OKF Team Ontario,CANADA
3,Benabed Imad,Karate Quebec,CANADA
4,Ameur Mohammed_El-Hadi,Karate Quebec,CANADA
YOG Kumite Individual Male- Junior -61kg _tie breaker match_,,,
YOG Kumite Individual Male- Junior -61kg _tie breaker match_,,,
1,Ameur Mohammed_El-Hadi,Karate Quebec,CANADA
2,Fong Zach,Team British Columbia,CANADA
YOG Kumite Individual Male- Junior-+68kg,,,
YOG Kumite Individual Male- Junior-+68kg,,,
1,LAHAIE JÉRÉMI,Karate Quebec,CANADA
2,Mohmedi Tiam,OKF Team Ontario,CANADA
3,Khela Jasraj,OKF Team Ontario,CANADA
,,(c)sportdata GmbH & Co KG 2000-2018(2018-03-11,
,,17:45) -WKF Approved- v 9.6.2 build 1 License:EL Karate,10 / 11
,,Canada National Championships 2018 (expire 2018-03-29),
,,Karate Canada National,
,,Championships 2018 - 2018-03-09,
,,Official Results,
4,Cole Jacob,Team Alberta,CANADA
,,(c)sportdata GmbH & Co KG 2000-2018(2018-03-11,
,,17:45) -WKF Approved- v 9.6.2 build 1 License:EL Karate,11 / 11
,,Canada National Championships 2018 (expire 2018-03-29),
